"","County","State","Date","Fips","Cases","Deaths","Population"
"1","Abbeville County","South Carolina","2021-11-01",45001,3843,49,24527
"2","Accomack County","Virginia","2021-11-01",51001,4095,77,32316
"3","Ada County","Idaho","2021-11-01",16001,81515,777,481587
"4","Adair County","Iowa","2021-11-01",19001,1062,35,7152
"5","Adair County","Kentucky","2021-11-01",21001,3426,81,19202
"6","Adair County","Missouri","2021-11-01",29001,3647,34,25343
"7","Adair County","Oklahoma","2021-11-01",40001,4878,61,22194
"8","Adams County","Colorado","2021-11-01",8001,78133,894,517421
"9","Adams County","Idaho","2021-11-01",16003,529,12,4294
"10","Adams County","Illinois","2021-11-01",17001,13367,185,65435
"11","Adams County","Indiana","2021-11-01",18001,4994,79,35777
"12","Adams County","Iowa","2021-11-01",19003,520,7,3602
"13","Adams County","Mississippi","2021-11-01",28001,4630,122,30693
"14","Adams County","Nebraska","2021-11-01",31001,3966,54,31363
"15","Adams County","North Dakota","2021-11-01",38001,391,4,2216
"16","Adams County","Ohio","2021-11-01",39001,4239,96,27698
"17","Adams County","Pennsylvania","2021-11-01",42001,13377,225,103009
"18","Adams County","Washington","2021-11-01",53001,3243,32,19983
"19","Adams County","Wisconsin","2021-11-01",55001,2794,33,20220
"20","Addison County","Vermont","2021-11-01",50001,1503,8,36777
"21","Aiken County","South Carolina","2021-11-01",45003,26978,345,170872
"22","Aitkin County","Minnesota","2021-11-01",27001,1916,44,15886
"23","Alachua County","Florida","2021-11-01",12001,39540,507,269043
"24","Alamance County","North Carolina","2021-11-01",37001,26469,342,169509
"25","Alameda County","California","2021-11-01",6001,122002,1432,1671329
"26","Alamosa County","Colorado","2021-11-01",8003,2515,44,16233
"27","Albany County","New York","2021-11-01",36001,31696,394,305506
"28","Albany County","Wyoming","2021-11-01",56001,6381,32,38880
"29","Albemarle County","Virginia","2021-11-01",51003,8090,101,109330
"30","Alcona County","Michigan","2021-11-01",26001,1168,44,10405
"31","Alcorn County","Mississippi","2021-11-01",28003,5712,102,36953
"32","Alexander County","Illinois","2021-11-01",17003,758,12,5761
"33","Alexander County","North Carolina","2021-11-01",37003,6491,117,37497
"34","Alfalfa County","Oklahoma","2021-11-01",40003,1309,9,5702
"35","Alger County","Michigan","2021-11-01",26003,1007,9,9108
