"","County","State","Population"
"1","Autauga County","Alabama",55869
"2","Baldwin County","Alabama",223234
"3","Barbour County","Alabama",24686
"4","Bibb County","Alabama",22394
"5","Blount County","Alabama",57826
"6","Bullock County","Alabama",10101
"7","Butler County","Alabama",19448
"8","Calhoun County","Alabama",113605
"9","Chambers County","Alabama",33254
"10","Cherokee County","Alabama",26196
"11","Chilton County","Alabama",44428
"12","Choctaw County","Alabama",12589
"13","Clarke County","Alabama",23622
"14","Clay County","Alabama",13235
"15","Cleburne County","Alabama",14910
"16","Coffee County","Alabama",52342
"17","Colbert County","Alabama",55241
"18","Conecuh County","Alabama",12067
"19","Coosa County","Alabama",10663
"20","Covington County","Alabama",37049
"21","Crenshaw County","Alabama",13772
"22","Cullman County","Alabama",83768
"23","Dale County","Alabama",49172
"24","Dallas County","Alabama",37196
"25","DeKalb County","Alabama",71513
"26","Elmore County","Alabama",81209
"27","Escambia County","Alabama",36633
"28","Etowah County","Alabama",102268
"29","Fayette County","Alabama",16302
"30","Franklin County","Alabama",31362
"31","Geneva County","Alabama",26271
"32","Greene County","Alabama",8111
"33","Hale County","Alabama",14651
"34","Henry County","Alabama",17205
"35","Houston County","Alabama",105882
"36","Jackson County","Alabama",51626
"37","Jefferson County","Alabama",658573
"38","Lamar County","Alabama",13805
"39","Lauderdale County","Alabama",92729
"40","Lawrence County","Alabama",32924
"41","Lee County","Alabama",164542
"42","Limestone County","Alabama",98915
"43","Lowndes County","Alabama",9726
"44","Macon County","Alabama",18068
"45","Madison County","Alabama",372909
"46","Marengo County","Alabama",18863
"47","Marion County","Alabama",29709
"48","Marshall County","Alabama",96774
"49","Mobile County","Alabama",413210
"50","Monroe County","Alabama",20733
"51","Montgomery County","Alabama",226486
"52","Morgan County","Alabama",119679
"53","Perry County","Alabama",8923
"54","Pickens County","Alabama",19930
"55","Pike County","Alabama",33114
"56","Randolph County","Alabama",22722
"57","Russell County","Alabama",57961
"58","St. Clair County","Alabama",89512
"59","Shelby County","Alabama",217702
"60","Sumter County","Alabama",12427
"61","Talladega County","Alabama",79978
"62","Tallapoosa County","Alabama",40367
"63","Tuscaloosa County","Alabama",209355
"64","Walker County","Alabama",63521
"65","Washington County","Alabama",16326
"66","Wilcox County","Alabama",10373
"67","Winston County","Alabama",23629
"68","Aleutians East Borough","Alaska",3337
"69","Aleutians West Census Area","Alaska",5634
"70","Anchorage Municipality","Alaska",288000
"71","Bethel Census Area","Alaska",18386
"72","Bristol Bay Borough","Alaska",836
"73","Denali Borough","Alaska",2097
"74","Dillingham Census Area","Alaska",4916
"75","Fairbanks North Star Borough","Alaska",96849
"76","Haines Borough","Alaska",2530
